c	city
2	Geneva, N.Y
2	Germantown, Pa
2	Glasgow Scotland
2	Gloucester Mass
2	Gosport
2	Granville, Middletown, N. J
2	Groton Junction, Mass
2	Guatemala
2	Hagh
2	Halifax N.S
2	Halifax, Canada
2	Hallowell
2	Hamburgh
2	Hamilton
2	Hamilton, C.W. Ont
2	Hanover
2	Hanover N.H
2	Harrisburgh Pa
2	Harrogate
2	Haverhill, Massachusetts
2	Henley
2	Honolulu Hawaii
2	Hopedale, Mass
2	Hudson
2	Imprinted in Aberdene
2	Imprynted at London
2	In London
2	Ithaca
2	Jackson, Miss
2	Jersey
2	Jersey City
2	Jersey City, N.J
2	Keene
2	Keokuk Iowa
2	Knoxville, Tenn
2	Leominster, Massachusetts
2	Lions
2	Litchfield Conn
2	Lodon sic
2	Londn sic
2	London Printed
2	London and Birmingham
2	London and Westminster
2	London i.e. Lausanne
2	London i.e. Neuchâtel
2	London i.e. York
2	London imprinted
2	London, England
2	London, printed
2	Lovain
2	Lyon
2	Macclesfield
2	Malta
2	Medford Mass
2	Medford, (Massachusetts
2	Memphis
2	Mexico
2	Middleburg
2	Milford, Mass
2	Mobile Ala
2	Montpelier, Vt
2	Montréal
2	Morrisania, N.Y
2	Morrisville
2	Mount-Pleasant N.Y
2	Mt. Gilead
2	Nashua
2	Nauvoo, Ill
2	New Bedford
2	New Brunswick, N.J
2	New York City
2	New York N.Y
2	New-Brunswick
2	Northampton, (Massachusetts
2	Norwich Conn
2	Nouvelle York
2	Nueva-York i.e., New York
2	Onondaga
2	Oswestry
2	Oxford i.e., London
2	Oxford or London
2	Oxford, Oxfordshire
2	Oxon Oxford
2	Paris i.e. London
2	Philadelphia Pa
2	Philadelphia, Pa
2	Philadelphie
2	Pittsburgh
2	Pittsfield Mass
2	Plano, Ill
2	Portland, Or
2	Portsmouth, in New-Hampshire
2	Pottsville, Pa
2	Princeton N.J
2	Princeton, N.J
2	Providence, in New-England
2	Quebec Québec
2	R.I
2	Racine, Wis
2	Raleigh
2	Reading Pa
2	Richmond, Ind
2	Rome i.e. London
2	Saco Me
2	Saint John
2	Saint John, N.B
2	Saint Louis, Mo
2	Salt Lake City
2	Schenectady
2	Southbridge
2	Springfield (Massachusetts
2	St. Anthony
2	St. Christopher
2	St. Omer
2	St. Omers
2	Steubenville
2	Stockbridge
2	Strabane
2	Strawberry-Hill
2	Stuttgart
2	Stuttgart und Tübingen
2	Syracuse
2	Te Leyden
2	Toledo
2	Trefhedyn
2	Tunbridge Wells
2	Union Village
2	Walpole, Newhampshire
2	Warwick
2	Washington Pa
2	Washington, D. C
2	Waterbury
2	Watertown, N.Y
2	West Brookfield, Mass
2	Wigan
2	Woodbridge N.J
2	Woodbridge, in New-Jersey
2	Wooster
2	Wrentham, (Massachusetts
2	Wrentham, Mass
2	Wrentham, Massachusetts
2	Yellow Springs
2	Yonkers, N.Y
2	Yorck i.e. Paris
2	York Yorkshire
2	Zanesville
2	Zu Philadelphia
2	the Hague
2	the Theater in Oxford
2	unknown
2	Ä Boston
2	à Paris
1	1612. London
1	A Breda
1	A London London
1	A London Paris
1	A LondonLondon
1	A Maestricht
1	A Montréal
1	Aberdeen Scotland
1	Aberdeen, Scotland
1	Abingdon, Va
1	Abredoniae
1	Abredoniæ
1	Acton, Mass
1	Adams N.Y
1	Adrian
1	Adrian Mich
1	Aeris
1	Aeræ
1	Albany N. Y
1	Albany, NY
1	Albion, N.Y
1	Alexandria i.e. London
1	Allegheny
1	Alston
1	Amburgo i.e. London
1	America
1	America Boston
1	Amherst N.H
1	Amherst, New Hampshire
1	Amherstburg, Ont
1	Amstelodami i.e. London
1	Amstelredam a city of Marchandise knowen vnto India and all limites of the Earth
1	Amsterdam i.e. Manchester
1	Amsterdam printed
1	Antuerpiae
1	Antwerpen
1	Anvers
1	Anwerp sic
1	Arnhemii
1	Ashland
1	Athens Ga
1	Athens, Ga
1	Atlanta Ga
1	Attleboro, Mass
1	Auburn, N.H
1	Augusta Ga
1	Augusta, Kalamazoo Co., Mich
1	Augusta, Me
1	Austin, Tex
1	Ayr
1	Bagdad i.e. Cork
1	Baltimorae i.e., Baltimore
1	Baltimori
1	Bangor, Me
1	Barbados
1	Barcelona
1	Barton Vt
1	Basel
1	Basileæ Basel, Switzerland
1	Battleboro
1	Belchertow
1	Bennington Vt
1	Bennington, Vt
1	Berlin i.e. Altenburg
1	Billerica, Mass
1	Binghamton, N.Y
1	Birmingham Eng
1	Birminghamiae
1	Bogota
1	Bogotá
1	Boston (Commonwealth of Massachusetts
1	Boston ; Philadelphia
1	Boston N. E
1	Boston in N.E. printed
1	Boston in New
1	Boston, (Massachusetts
1	Boston, N E
1	Boston, in America
1	Boston, in New England
1	Boston, printed
1	Boston; New
1	Bostoni in Nov-Anglia excusum
1	Bostoniae, Americae
1	Brandon
1	Brattleboro
1	Brattleboro Vt
1	Brattleboro', Vt
1	Brattleborough, Vermont
1	Braunschweig Germany
1	Brecknock
1	Brighthelmstone
1	Bristoll Avon
1	Brobdignagg i.e. Dublin
1	Brockton, Mass
1	Brookfield, Massachusetts
1	Brookville, Pa
1	Bruges
1	Brunswick N.J
1	Bruxelles
1	Bruxells
1	Buffalo Creek Reservation (N.Y
1	Burlington Iowa
1	Burnley
1	Bury St. Edmunds
1	Bury St. Edmunds, Suffolk
1	Caen
1	Caerlleon
1	Caernarfon
1	Caernarvon
1	Cambridg
1	Cambridg sic, Mass
1	Cambridge Mass. printed
1	Cambridge in New-England
1	Cambridgeport Mass
1	Canandaigua
1	Cantorbery i.e. Paris
1	Cap-Henry
1	Caroloppidi i.e., Charlestown, Mass
1	Carácas ; Paris
1	Castleton
1	Cavan
1	Cazenovia
1	Cazenovia N.Y
1	Cedar Rapids, Iowa
1	Central Falls R.I
1	Chapel Hill N.C
1	Charles-Town S.C
1	Charleston, SC
1	Charlestown
1	Charlestown S.C
1	Charlestown i.e., Charleston, S.C
1	Charlottesville
1	Charlottesville, Va
1	Charlottetown, P.E. Island
1	Chatham
1	Chatham N.J
1	Chelmsford Mass
1	Chelmsford Mass. N.E
1	Chelmsford Mass. New-England
1	Chelsea
1	Chesham
1	Cheshire
1	Chesnuthill Pa
1	Chesterfield
1	Chillicothe
1	Chippenham
1	City of Jefferson Mo
1	Claremont N.H
1	Clarksville
1	Clinton Hall, N.Y
1	Clinton, Iowa
1	Clipstone
1	Clonmel
1	Cockenay i.e. Edinburgh
1	Colerain
1	Collen i.e. Paris
1	Columbia, S. C
1	Commonwealth of Massachusetts Boston
1	Commonwealth of Massachusetts, Boston, N.E
1	Commonwealth of Massachusetts.) Pittsfield
1	Copenhagen
1	Corcagiæ
1	Cranbrook
1	Cullen i.e. Saint-Omer
1	Cupar Fife
1	Cöln
1	Dampierre
1	Davenport
1	Dayton Tenn
1	Delaware
1	Delff
1	Delhi N.Y
1	Delph in Holland
1	Des Moines, Iowa
1	Diss
1	Dolgelley
1	Dondon i.e. London
1	Dorchester
1	Dover Del
1	Dover N. H
1	Dover and Great Falls
1	Dover, (N.H
1	Dover, Del
1	Dover, N.H
1	Duaci
1	Dubdin sic, i.e. Dublin
1	Dubdlin sic
1	Dublin and reprinted at London
1	Dublin i.e. Paris
1	Dublin printed
1	Dublin reprinted
1	Dublin, ;and re-printed at Edinburgh
1	Dublin, Ireland
1	Dublino
1	Dubuque Iowa
1	Dun-Eidean
1	Duxbury, Mass
1	East Saginaw, Mich
1	East-Windsor, (Connecticut
1	Edenburgh London
1	Edenburgh i.e. London
1	Edenburgh, and reprinted at London
1	Edimbourg Toulouse
1	Edin
1	Edinbburgh
1	Edinburg reprinted at London
1	Edinburgh ;and Reprinted at London
1	Edinburgh And now re-printed at London
1	Edinburgh London, re-printed
1	Edinburgh Re-printed at London
1	Edinburgh Scotland
1	Edinburgh and Reprinted at London
1	Edinburgh and re-printed at London
1	Edinburgh and reprinted at London
1	Edinburgh i.e. London
1	Edinburgh i.e. Oxford
1	Edinburghi
1	Edinburgo
1	Edinburh sic
1	Edinbvrgh London
1	Eizabeth-town
1	Elesium sic i.e. London
1	Eleutheropolis i.e. Edinburgh
1	Elisium i.e. London
1	Elizabeth town N.J
1	Elizabeth-town
1	Elizabethtown, N.J
1	Ellesmere
1	Ephrata, Pa
1	Ephratae Pa
1	Eristol sic
1	Essex
1	Essex County Mass
1	Extern
1	Falmouth Eng
1	Farmington
1	Fayette, Mo
1	Fayetteville, N.C
1	Firenze
1	Fish-kill N.Y
1	Fleet, Lincs
1	Flor
1	Florence
1	Florence i.e. London
1	Flushing N.Y
1	Fond du Lac Wis
1	Foxborough Mass
1	Francfort
1	Franckfort i.e. the Netherlands
1	Franklin, Pa
1	Frederick Md
1	From the heart of i.e. London
1	G. S. L. City
1	Gallatin, Tenn
1	Galveston Tex
1	Gambier
1	Gant
1	Gant i.e. Ghent
1	Gateside i.e. Gateshead, Durham
1	Gedruckt tot Amsterdam
1	Geneseo N.Y
1	Geneseo, Ill
1	Genève
1	Georgetown Washington, D.C
1	Georgetown, Ky
1	Germantown
1	Gettysburg
1	Gilmanton
1	Glasgow-College
1	Gloucester, Mass
1	Glynd
1	Grantham
1	Gravenhagh
1	Gravenhagh Netherlands
1	Gravesend
1	Greenfield, (Massachusetts
1	Greenfield, Massachusetts
1	Greensboro N.C
1	Greensburg, Pa
1	Greenville, S.C
1	Greenwich
1	Griffin, Ga
1	Groton
1	Groton Junction Mass
1	Guernesey
1	Géneve i.e. London
1	Götheborg
1	Hackensack, N.J
1	Hagh The Hague
1	Haghe i.e. The Hague
1	Hagæ
1	Halifax N.C
1	Hamborough
1	Hambourgh
1	Hamburg
1	Hamilton Ont
1	Hanover, N.H
1	Hanover, Pa
1	Harford
1	Harrisburg, Pa
1	Harrison, Me
1	Hartford (Conn
1	Haverhill N.H
1	Hawick
1	Helicon i.e. Edinburgh
1	Helston
1	Hildburghausen
1	Hinckley
1	Hingham, Mass
1	Holliston Mass
1	Holliston, Mass
1	Holy-Rood-House Edinburgh
1	Holy-Rood-House i.e. Edinburgh
1	Holyoke
1	Holyoke, Mass
1	Honolulu
1	Huddersfield
1	Hudson, N.Y
1	Huntingdon
1	Iena
1	Imprinted amongst the Antipides i.e. Dordrecht
1	Imprinted by London
1	Imprinted in the Lowcountryes i.e. Dordrecht
1	In Aberdene
1	In Dublin
1	In the Savoy, London
1	In the Savoye i.e. London
1	Iowa
1	Irvington, N.J
1	Jackson Miss
1	Jacksonville
1	Jacksonville, Or
1	Jamaica
