year	pages	words
1779	220	56188
1779	215	55171
1769	263	37674
1779	203	51014
1775	274	74224
1760	346	44206
1760	286	34880
1789	384	115212
1772	672	160873
1758	291	65131
1793	218	44742
1777	218	31006
1742	283	66235
1708	235	81907
1789	361	110415
1770	103	32737
1782	339	99362
1776	236	47925
1778	504	106737
1783	335	45430
1780	417	167556
1780	394	163758
1797	391	62064
1767	380	157838
1780	407	169750
1797	309	93130
1797	260	92010
1776	227	39279
1778	466	98576
1752	293	61142
1752	348	74233
1752	278	42055
1787	39	5651
1752	390	88928
1752	345	99625
1752	345	89497
1781	8	1741
1752	293	64064
	10	1730
1796	96	16364
	24	2086
1752	401	87404
1785	2	256
	14	5362
1752	424	84609
1752	98	30633
1786	24	5102
1771	69	25258
1746	32	7040
1763	30	5364
1721	8	751
	25	3023
	8	835
1714	119	23939
1757	272	61576
1757	239	53260
1757	275	61832
	26	7409
1702	85	13195
1739	2	460
1719	20	3216
1745	8	844
	24	4235
	24	4285
	26	5803
	23	6255
	1	479
	435	80799
1773	279	71405
	71	17387
	24	4351
1799	24	7577
	24	4763
1777	134	15575
	18	2431
1717	34	6447
1736	95	26780
	24	4615
1790	277	48450
	24	3869
	111	28017
1798	1	351
1735	123	34048
1776	259	89569
1732	222	46302
1765	64	23238
1736	95	27412
	4	813
1719	55	9780
1735	94	27549
1736	96	26774
1735	140	44145
1727	158	24678
1736	108	33681
1767	50	5047
1783	190	34783
1768	96	28475
	134	22573
1778	175	42384
1782	30	4381
1767	78	23521
	192	42701
	60	17357
1735	79	21163
	112	18640
1735	119	34311
	207	89436
	414	153036
	231	85562
	7	1367
1795	318	122411
1798	229	93735
	49	15149
	88	12756
	264	97972
	223	73950
1755	403	127325
1786	374	119492
	431	151153
1750	18	3495
1750	23	4671
1750	23	6423
1750	16	4865
1750	26	6674
	35	5821
	144	12867
1750	15	4240
	8	1582
1750	106	26522
1703	60	6102
1768	13	4231
	66	11474
1796	45	6458
1763	22	4173
	102	18358
1741	75	21853
1799	39	4443
1748	24	7189
1768	16	4912
1793	13	4412
1726	22	4611
	15	3332
	15	2092
	4	1684
1750	12	1704
1750	62	13803
	63	27847
1762	120	39411
1753	321	88021
1724	464	123196
1750	12	3074
	8	3000
1732	140	44850
1794	398	106679
1794	522	133711
1750	16	4255
1742	695	178123
1711	566	161226
1750	505	153399
1795	655	238942
1717	431	58555
1750	504	170463
1795	727	266961
1750	536	237542
1710	107	27254
1789	144	47786
	37	9999
1797	44	7022
1794	20	6027
1753	103	21780
	41	6088
	23	6225
1796	23	7311
1799	24	5123
1751	28	7517
	106	22754
1799	136	23189
1762	8	2240
1754	54	10666
	8	1776
	24	3801
	8	1917
1797	48	9356
1796	24	5501
	8	1187
1765	177	51515
	8	920
	8	1827
	8	2149
	8	1234
	8	1410
	8	1057
	49	13606
	49	14875
	8	1490
	8	2326
	8	1564
	8	1262
	8	1973
	49	12243
1706	249	62860
1739	42	3924
	39	14312
1723	261	90374
	184	28818
1787	184	85123
	95	26025
1745	402	109496
	242	78178
1782	484	134460
1702	12	8843
1704	304	115922
1791	27	3940
1774	285	107083
1703	453	91309
1781	534	150039
1778	406	80101
1778	394	76850
1778	404	79973
1716	28	6578
1716	24	5683
1716	24	4929
1776	524	103748
1776	533	102078
1744	26	6222
1750	76	32681
1705	22	6156
1704	30	4691
1778	396	79229
1709	28	5593
1701	34	9480
1707	26	4912
1710	28	6115
1740	23	6617
1715	24	5078
1716	23	5947
1723	29	5874
1706	39	8931
1720	28	6752
	24	5838
1791	632	115017
1705	24	4603
1722	26	6532
1701	28	6315
1701	27	6950
1713	19	4950
1718	23	4042
1705	31	8241
1705	31	9050
1701	30	6079
1706	31	7851
1717	23	5931
1708	27	6507
1705	32	14918
1706	31	11973
1731	431	97025
1720	52	6421
	8	3088
1710	125	24991
1796	88	16364
1735	429	118843
	24	3464
	24	4084
	24	3069
	48	8695
	24	3038
	24	4565
	24	3533
	24	2027
	167	55814
1775	351	91299
	24	3310
	24	3184
1771	268	79651
1770	613	404774
	24	3129
	24	2834
	24	3441
	24	3113
1750	15	2010
1705	33	3011
1777	136	22611
1780	287	46720
1750	28	4751
1771	967	523169
1740	168	28887
1760	280	21424
1753	433	78980
1770	98	8185
1726	428	117160
1782	297	68327
1794	180	39970
1788	360	163622
1748	402	95519
1788	560	261422
1784	204	34914
1783	231	34903
1784	200	33114
1763	15	1428
	36	11113
1784	189	33327
1784	187	36541
	17	5189
